index,name,nameEng,il,ilEng
596,Сарайкент,sarajkent,Йозгат,jozgat
597,Тонья,tonya,Трабзон,trabzon
598,Кавак,kavak,Самсун,samsun
599,Кечиборлу,kechiborlu,Ыспарта,ysparta
600,Чолаклы,cholakly,Анталья,antalya
601,Оваэмир,ovaemir,Айдын,ajdyn
602,Ичеричумра,icherichumra,Конья,konya
603,Мачка,machka,Трабзон,trabzon
604,Битез,bitez,Мугла,mugla
605,Яглыдере,yaglydere,Гиресун,giresun
606,Чаршибаши,charshibashi,Трабзон,trabzon
607,Дураган,duragan,Синоп,sinop
608,Козаклы,kozakly,Невшехир,nevshekhir
609,Пиразиз,piraziz,Гиресун,giresun
610,Бекбеле,bekbele,Хатай,hataj
611,Шекероба,shekeroba,Кахраманмараш,kahramanmarash
612,Арыташ,arytash,Кахраманмараш,kahramanmarash
613,Атча,atcha,Айдын,ajdyn
614,Гёкчебей,gyokchebej,Зонгулдак,zonguldak
615,Улукышла,ulukyshla,Нигде,nigde
616,Гюлюч,gyulyuch,Зонгулдак,zonguldak
617,Алтынова,altynova,Ялова,yalova
618,Сакчагёзе,sakchagyoze,Газиантеп,gaziantep
619,Атаюрт,atayurt,Мерсин,mersin
620,Ышыклар,yshyklar,Афьонкарахисар,afonkarahisar
621,Карайсалы,karajsaly,Адана,adana
622,Улуборлу,uluborlu,Ыспарта,ysparta
623,Гёйнюк,gyojnyuk,Анталья,antalya
624,Ылгаз,ylgaz,Чанкыры,chankyry
625,Атакент,atakent,Мерсин,mersin
626,Чичекдагы,chichekdagy,Кыршехир,kyrshekhir
627,Гёкче,gyokche,Мардин,mardin
628,Бухаркент,buharkent,Айдын,ajdyn
629,Велимеше,velimeshe,Текирдаг,tekirdag
630,Ширан,shiran,Гюмюшхане,gyumyushkhane
